config,opponent,repeats,mean_winrate,stdev_winrate,beaten_count
counter_bonus_70,max_damage-nu,1,1.0,0.0,1
counter_bonus_70,max_damage-ou,1,1.0,0.0,1
counter_bonus_70,max_damage-ru,1,1.0,0.0,1
counter_bonus_70,max_damage-uber,1,0.0,0.0,0
counter_bonus_70,max_damage-uu,1,1.0,0.0,1
counter_bonus_70,random-nu,1,1.0,0.0,1
counter_bonus_70,random-ou,1,1.0,0.0,1
counter_bonus_70,random-ru,1,1.0,0.0,1
counter_bonus_70,random-uber,1,1.0,0.0,1
counter_bonus_70,random-uu,1,1.0,0.0,1
counter_bonus_70,simple-nu,1,1.0,0.0,1
counter_bonus_70,simple-ou,1,1.0,0.0,1
counter_bonus_70,simple-ru,1,1.0,0.0,1
counter_bonus_70,simple-uber,1,0.6666666666666666,0.0,1
counter_bonus_70,simple-uu,1,1.0,0.0,1
